row_id,question,question_id,student_answer,reference_answer,assigned_points,max_points,domain,dataset_name,normalized_points
10967,,216,"['mana', 'travel', 'ribosome', 'ribosome', 'mana', 'copied', 'used', 'create', 'proteinsthe', 'copy', 'mana', 'used', 'instruction', 'create', 'proteinsthe', 'protein', 'made', 'using', 'instruction', 'given']","['first', 'mana', 'attache', 'ribosome', 'ribosome', 'read', 'mana', 'segment', 'three', 'called', 'coon', 'colon', 'complementary', 'amino', 'acid', 'secondly', 'tuna', 'pick', 'needed', 'amino', 'acid', 'brings', 'ribosome', 'third', 'amino', 'acid', 'attach', 'form', 'chain', 'amino', 'acid', 'according', 'way', 'coon', 'read', 'mana', 'strand', 'ribosome', 'chain', 'continues', 'form', 'ribosome', 'reach', 'stop', 'colon', 'mana', 'strand', 'lastly', 'ribosome', 'disconnect', 'mana', 'strand', 'protein', 'released', 'perform', 'job', 'cell']",1.0,3.0,biology,ASAP_sas,0.3333333333333333
10968,,216,"['created', 'broken', 'donit', 'broken', '2', 'phosphate', 'group', 'dont', 'connect', 'third', 'causing', 'adpadp', 'make', 'remaking']","['first', 'mana', 'attache', 'ribosome', 'ribosome', 'read', 'mana', 'segment', 'three', 'called', 'coon', 'colon', 'complementary', 'amino', 'acid', 'secondly', 'tuna', 'pick', 'needed', 'amino', 'acid', 'brings', 'ribosome', 'third', 'amino', 'acid', 'attach', 'form', 'chain', 'amino', 'acid', 'according', 'way', 'coon', 'read', 'mana', 'strand', 'ribosome', 'chain', 'continues', 'form', 'ribosome', 'reach', 'stop', 'colon', 'mana', 'strand', 'lastly', 'ribosome', 'disconnect', 'mana', 'strand', 'protein', 'released', 'perform', 'job', 'cell']",0.0,3.0,biology,ASAP_sas,0.0
10969,,216,"['mana', 'first', 'get', 'electron', 'transport', 'chain']","['first', 'mana', 'attache', 'ribosome', 'ribosome', 'read', 'mana', 'segment', 'three', 'called', 'coon', 'colon', 'complementary', 'amino', 'acid', 'secondly', 'tuna', 'pick', 'needed', 'amino', 'acid', 'brings', 'ribosome', 'third', 'amino', 'acid', 'attach', 'form', 'chain', 'amino', 'acid', 'according', 'way', 'coon', 'read', 'mana', 'strand', 'ribosome', 'chain', 'continues', 'form', 'ribosome', 'reach', 'stop', 'colon', 'mana', 'strand', 'lastly', 'ribosome', 'disconnect', 'mana', 'strand', 'protein', 'released', 'perform', 'job', 'cell']",0.0,3.0,biology,ASAP_sas,0.0
10970,,216,"['mana', 'travel', 'mitochondrion', 'copiedthen', 'one', 'mana', 'go', 'nucleus', 'go', 'ribosome', 'transfer', 'information', 'organelle', 'organelle', 'read', 'information', 'make', 'protein']","['first', 'mana', 'attache', 'ribosome', 'ribosome', 'read', 'mana', 'segment', 'three', 'called', 'coon', 'colon', 'complementary', 'amino', 'acid', 'secondly', 'tuna', 'pick', 'needed', 'amino', 'acid', 'brings', 'ribosome', 'third', 'amino', 'acid', 'attach', 'form', 'chain', 'amino', 'acid', 'according', 'way', 'coon', 'read', 'mana', 'strand', 'ribosome', 'chain', 'continues', 'form', 'ribosome', 'reach', 'stop', 'colon', 'mana', 'strand', 'lastly', 'ribosome', 'disconnect', 'mana', 'strand', 'protein', 'released', 'perform', 'job', 'cell']",0.0,3.0,biology,ASAP_sas,0.0
10971,,216,"['first', 'thing', 'mana', 'go', 'ribosome', 'next', 'tuna', 'come', 'decodes', 'first', 'three', 'nucleotide', 'tuna', 'brings', 'amino', 'acid', 'match', 'colon', 'last', 'tuna', 'shift', 'amino', 'acid', 'form', 'peptide', 'bond', 'one', 'another']","['first', 'mana', 'attache', 'ribosome', 'ribosome', 'read', 'mana', 'segment', 'three', 'called', 'coon', 'colon', 'complementary', 'amino', 'acid', 'secondly', 'tuna', 'pick', 'needed', 'amino', 'acid', 'brings', 'ribosome', 'third', 'amino', 'acid', 'attach', 'form', 'chain', 'amino', 'acid', 'according', 'way', 'coon', 'read', 'mana', 'strand', 'ribosome', 'chain', 'continues', 'form', 'ribosome', 'reach', 'stop', 'colon', 'mana', 'strand', 'lastly', 'ribosome', 'disconnect', 'mana', 'strand', 'protein', 'released', 'perform', 'job', 'cell']",2.0,3.0,biology,ASAP_sas,0.6666666666666666
10972,,216,"['go', 'er', 'gold', 'body']","['first', 'mana', 'attache', 'ribosome', 'ribosome', 'read', 'mana', 'segment', 'three', 'called', 'coon', 'colon', 'complementary', 'amino', 'acid', 'secondly', 'tuna', 'pick', 'needed', 'amino', 'acid', 'brings', 'ribosome', 'third', 'amino', 'acid', 'attach', 'form', 'chain', 'amino', 'acid', 'according', 'way', 'coon', 'read', 'mana', 'strand', 'ribosome', 'chain', 'continues', 'form', 'ribosome', 'reach', 'stop', 'colon', 'mana', 'strand', 'lastly', 'ribosome', 'disconnect', 'mana', 'strand', 'protein', 'released', 'perform', 'job', 'cell']",1.0,3.0,biology,ASAP_sas,0.3333333333333333
10973,,216,"['messenger', 'ran', 'collect', 'protein', 'partial', 'inside', 'nucleus', 'cell', 'transport', 'ran', 'come', 'collect', 'protein', 'cell', 'take', 'anothe', 'cell', 'body', 'part', 'body', 'absorb', 'protein', 'use', 'tem', 'function', 'protein', 'synthesis']","['first', 'mana', 'attache', 'ribosome', 'ribosome', 'read', 'mana', 'segment', 'three', 'called', 'coon', 'colon', 'complementary', 'amino', 'acid', 'secondly', 'tuna', 'pick', 'needed', 'amino', 'acid', 'brings', 'ribosome', 'third', 'amino', 'acid', 'attach', 'form', 'chain', 'amino', 'acid', 'according', 'way', 'coon', 'read', 'mana', 'strand', 'ribosome', 'chain', 'continues', 'form', 'ribosome', 'reach', 'stop', 'colon', 'mana', 'strand', 'lastly', 'ribosome', 'disconnect', 'mana', 'strand', 'protein', 'released', 'perform', 'job', 'cell']",0.0,3.0,biology,ASAP_sas,0.0
10974,,216,"['translation', 'amino', 'acid', 'code', 'translatedtranscription', 'amino', 'acid', 'code', 'readsynthesisthe', 'protein', 'made', 'introduction', 'code', 'given']","['first', 'mana', 'attache', 'ribosome', 'ribosome', 'read', 'mana', 'segment', 'three', 'called', 'coon', 'colon', 'complementary', 'amino', 'acid', 'secondly', 'tuna', 'pick', 'needed', 'amino', 'acid', 'brings', 'ribosome', 'third', 'amino', 'acid', 'attach', 'form', 'chain', 'amino', 'acid', 'according', 'way', 'coon', 'read', 'mana', 'strand', 'ribosome', 'chain', 'continues', 'form', 'ribosome', 'reach', 'stop', 'colon', 'mana', 'strand', 'lastly', 'ribosome', 'disconnect', 'mana', 'strand', 'protein', 'released', 'perform', 'job', 'cell']",0.0,3.0,biology,ASAP_sas,0.0
10975,,216,"['1', 'mana', 'take', 'copied', 'information', 'cytoplasm', 'tuna', 'brings', 'nucleotide', 'pair', 'mana', 'order', 'make', 'copy', 'dna', 'strand', 'amino', 'acid', 'paired', 'set', 'three', 'nucleotide', 'process', 'completed', 'used', 'make', 'protein']","['first', 'mana', 'attache', 'ribosome', 'ribosome', 'read', 'mana', 'segment', 'three', 'called', 'coon', 'colon', 'complementary', 'amino', 'acid', 'secondly', 'tuna', 'pick', 'needed', 'amino', 'acid', 'brings', 'ribosome', 'third', 'amino', 'acid', 'attach', 'form', 'chain', 'amino', 'acid', 'according', 'way', 'coon', 'read', 'mana', 'strand', 'ribosome', 'chain', 'continues', 'form', 'ribosome', 'reach', 'stop', 'colon', 'mana', 'strand', 'lastly', 'ribosome', 'disconnect', 'mana', 'strand', 'protein', 'released', 'perform', 'job', 'cell']",0.5,3.0,biology,ASAP_sas,0.16666666666666666
10976,,216,"['first', 'mana', 'leaf', 'cell', 'nucleus', 'move', 'ribosome', 'tuna', 'find', 'complementary', 'base']","['first', 'mana', 'attache', 'ribosome', 'ribosome', 'read', 'mana', 'segment', 'three', 'called', 'coon', 'colon', 'complementary', 'amino', 'acid', 'secondly', 'tuna', 'pick', 'needed', 'amino', 'acid', 'brings', 'ribosome', 'third', 'amino', 'acid', 'attach', 'form', 'chain', 'amino', 'acid', 'according', 'way', 'coon', 'read', 'mana', 'strand', 'ribosome', 'chain', 'continues', 'form', 'ribosome', 'reach', 'stop', 'colon', 'mana', 'strand', 'lastly', 'ribosome', 'disconnect', 'mana', 'strand', 'protein', 'released', 'perform', 'job', 'cell']",1.0,3.0,biology,ASAP_sas,0.3333333333333333
